CMDLINE python main.py --input ../graph/ --output ../emb/ --p 1 --q 1 --walk-length 20 --num-walks 10 --dataset 8 --l_type cluster --su
CHLD 0 0.636719 1530965078.9148
CHLD 1 2896.511719 1530965078.9148
MEM 2911.242188 1530965079.0363
CHLD 0 0.636719 1530965079.0560
CHLD 1 0.000000 1530965079.0560
MEM 207.449219 1530965079.1776
CHLD 0 0.636719 1530965079.1940
CHLD 1 0.000000 1530965079.1941
MEM 206.812500 1530965079.3179
MEM 223.480469 1530965079.4537
MEM 255.660156 1530965079.5815
MEM 273.121094 1530965079.7162
MEM 273.242188 1530965079.8487
MEM 207.000000 1530965079.9772
